jobid,k_opt,MAE_adj,Med_Abs_Err,scenario
75,32.0,0.318755529039827,0.320270542805353,Oracle
75,,0.369870583337613,0.323174015139559,GAM
76,38.0,0.400869799684109,0.290989380710568,Proposed
76,43.0,0.390548912938764,0.259471209328639,Oracle
76,,0.407748802807184,0.311940397725068,GAM
77,37.0,0.321353809121007,0.272380217666678,Proposed
77,39.0,0.305303470772251,0.257753628388058,Oracle
77,,0.2145417835375,0.18607415759912,GAM
78,54.0,0.335768043741524,0.325249405331589,Proposed
78,55.0,0.324803027543611,0.330423237882081,Oracle
78,,0.213236422368342,0.197295682065255,GAM
79,34.0,0.318590986094775,0.290939220935394,Proposed
79,41.0,0.283863724722212,0.2894668799628,Oracle
79,,0.324712671172471,0.315628718189852,GAM
80,47.0,0.376958086129184,0.372241555812721,Proposed
80,52.0,0.387191552635707,0.388726880193669,Oracle
80,,0.39705701301456,0.335024774662176,GAM
81,52.0,0.341097363904536,0.327112857064171,Proposed
81,42.0,0.29353347917577,0.257619233481551,Oracle
81,,0.226987349952568,0.180023992269728,GAM
82,44.0,0.252704701150873,0.244368688986557,Proposed
82,42.0,0.230363379775464,0.215896756437617,Oracle
82,,0.210250461047149,0.221273421078634,GAM
83,51.0,0.223217500448133,0.257671557236644,Proposed
83,54.0,0.239849766685977,0.264257366976375,Oracle
83,,0.174193199124823,0.164562798637265,GAM
84,36.0,0.243355202510939,0.222150098712923,Proposed
84,37.0,0.243094656703618,0.258577626264229,Oracle
84,,0.235148882490651,0.266632617480687,GAM
85,38.0,0.269095692542019,0.242548725375655,Proposed
85,40.0,0.252709020983356,0.249719225111619,Oracle
85,,0.189633097757798,0.184678419554015,GAM
86,34.0,0.238083937810671,0.231395335914527,Proposed
86,35.0,0.198654520950793,0.200372841638995,Oracle
86,,0.183454173920093,0.152366382603016,GAM
87,53.0,0.372245651234895,0.288362120620409,Proposed
87,48.0,0.370738062824498,0.299667891195105,Oracle
87,,0.340763731923931,0.306443138515428,GAM
88,35.0,0.306109641025478,0.277684713912742,Proposed
88,38.0,0.297381695726835,0.286417825254648,Oracle
88,,0.265613618447214,0.245170234766456,GAM
89,39.0,0.217654093661934,0.204929899986556,Proposed
89,37.0,0.199525990541092,0.168097591352986,Oracle
89,,0.188651622739865,0.180378180569247,GAM
90,41.0,0.254039400818419,0.232914744057419,Proposed
90,38.0,0.234689387018355,0.220312137768603,Oracle
90,,0.224738337788251,0.225682491722575,GAM
91,53.0,0.332719284945764,0.271233733624132,Proposed
91,54.0,0.338111460033545,0.263211165443506,Oracle
91,,0.313777813750546,0.329880665666664,GAM
92,37.0,0.305939175960792,0.329461293116663,Proposed
92,41.0,0.306997793373914,0.328695668883142,Oracle
92,,0.224836091366096,0.24098407861606,GAM
93,42.0,0.2278021752881,0.238125176287571,Proposed
93,47.0,0.258963086019278,0.23535131346264,Oracle
93,,0.221026498285011,0.218806147403883,GAM
94,44.0,0.200019172198141,0.188569029973664,Proposed
94,48.0,0.246096776503716,0.189899041057804,Oracle
94,,0.174594061833433,0.198956336942282,GAM
95,52.0,0.309477558493455,0.288067870568323,Proposed
95,56.0,0.31415740061811,0.305568278468462,Oracle
95,,0.244441809771747,0.268196355595018,GAM
96,50.0,0.312072267455674,0.262169850977196,Proposed
96,42.0,0.248745777966662,0.217863516120772,Oracle
96,,0.168633738786839,0.165344713701197,GAM
97,34.0,0.339661190897372,0.323203499696621,Proposed
97,38.0,0.322827403030833,0.305316532782188,Oracle
97,,0.306250947091703,0.253911077391543,GAM
98,53.0,0.364159616047574,0.306731205921108,Proposed
98,49.0,0.413942817086141,0.314455839044535,Oracle
98,,0.341924230408378,0.329749378171642,GAM
99,53.0,0.333274559882046,0.305445082233198,Proposed
99,56.0,0.364527994339445,0.290505505226487,Oracle
99,,0.264703701048449,0.217313382672276,GAM
100,46.0,0.36251793006349,0.345378699397947,Proposed
100,44.0,0.325499435267942,0.302471664941653,Oracle
100,,0.250093258685616,0.253896297085972,GAM
