jobid,k_opt,k1_opt,k2_opt,MAE_adj,Med_Abs_Err,scenario
54,34,26,37,4.57825487656298,4.3176309483499,Oracle
55,30,24,35,5.38994694507354,4.51197057271485,Proposed
55,28,23,32,6.0689293101657,4.98953742996605,Oracle
56,24,20,27,4.70135948895567,3.16662028648973,Proposed
56,22,18,26,5.47783295009608,4.00122569888972,Oracle
57,19,15,21,5.31720904485114,5.23820843009002,Proposed
57,18,14,19,5.76395618250461,5.2722113720282,Oracle
58,41,31,45,4.71556949370613,4.38858030659685,Proposed
58,46,33,48,4.33393969903983,3.82764541049925,Oracle
59,15,11,15,7.03765525453788,5.78048395184648,Proposed
59,17,12,17,5.23081427314557,4.13792650734043,Oracle
60,29,22,30,6.10665121576423,5.99003024064892,Proposed
60,29,22,31,4.95334604104885,4.10544407865385,Oracle
61,18,21,29,5.31557373246121,4.5316639547002,Proposed
61,17,22,32,4.24975089602417,3.08003485232489,Oracle
62,30,23,32,8.1806035448764,7.43216499284389,Proposed
62,29,22,31,7.92073982227143,6.9402046083062,Oracle
63,23,18,26,6.20372512752498,5.07916502686521,Proposed
63,20,15,21,7.1149185745478,6.42573285387622,Oracle
64,24,20,29,5.09252256038969,4.82000510608984,Proposed
64,22,18,26,6.1563578927083,5.78232210584884,Oracle
65,27,22,31,4.16047877091456,3.20330033365164,Proposed
65,28,24,34,3.84472469713895,2.92426492755672,Oracle
66,20,16,21,10.7565799129701,6.86531356830209,Proposed
66,21,16,21,10.8152199996409,6.97863409088948,Oracle
67,16,12,17,5.73769355739706,5.44393145752132,Proposed
67,17,13,18,12.9515774957732,9.19428441070657,Oracle
68,31,22,32,5.8543023239062,5.13429678284559,Proposed
68,30,22,31,4.25788105694275,3.65212495692412,Oracle
69,27,21,30,2.8869192257036,2.33043251470434,Proposed
69,28,24,33,4.12781511418729,3.74163528076983,Oracle
70,16,12,17,4.71857390206874,2.84033990111126,Proposed
70,21,18,24,8.85975361899322,5.33688315376106,Oracle
71,24,20,27,7.83559178261519,5.42975114686798,Proposed
71,26,22,31,6.36331150184893,4.18339587562951,Oracle
72,28,22,32,3.89583128880776,3.23279737920344,Proposed
72,30,22,32,3.56531386857341,3.02350447261505,Oracle
73,20,16,21,5.77091996080404,3.43606298050779,Proposed
73,24,18,26,3.90129479702323,2.65108301459939,Oracle
74,31,27,39,4.59096144926796,4.7507040236233,Proposed
74,28,26,36,4.62035470714314,4.16775959100939,Oracle
75,12,12,15,6.46686007638299,5.46686061189644,Proposed
75,14,11,15,6.55217699553924,5.44774871345297,Oracle
76,29,23,33,5.91228212577852,4.58551918529842,Proposed
76,31,25,35,5.29930812089443,3.83826744013957,Oracle
77,28,25,36,4.11620738487855,3.11310006315622,Proposed
77,26,23,33,2.7251139731952,1.98776022545354,Oracle
78,25,19,27,3.66719977882013,3.28743245604965,Proposed
78,26,20,29,3.04288007264848,2.35429762894102,Oracle
79,31,26,36,5.15981519370502,4.69203827111156,Proposed
79,29,24,33,5.07748346564583,4.04819665511441,Oracle
80,28,24,35,6.43350088818444,5.16719051249603,Proposed
80,19,22,32,6.74954459523283,5.94863754440405,Oracle
81,31,23,33,6.81283571490072,6.49272357720538,Proposed
81,32,25,34,6.47314951468913,5.64743313363175,Oracle
82,31,23,32,4.53905012212225,3.15421629827163,Proposed
82,30,23,32,4.15438067765168,2.99800365708567,Oracle
83,23,19,27,7.00844188951871,4.9339770222044,Proposed
83,25,21,29,3.29331897849627,2.29113887112607,Oracle
84,13,10,14,4.70174597049341,3.12450921651682,Proposed
84,15,12,15,3.95433732599635,2.57529563609334,Oracle
85,39,29,42,5.62342114069701,4.97927660083654,Proposed
85,34,27,38,5.19635069465977,4.30504987730367,Oracle
86,32,23,33,7.72221879928681,5.86838360978106,Proposed
86,33,23,34,7.80381472013333,5.96978064366881,Oracle
87,32,25,36,2.96037021255723,2.2265217622494,Proposed
87,29,23,33,3.70657913438406,2.90341985554527,Oracle
88,28,24,35,5.35253215172885,5.17891174897344,Proposed
88,31,27,37,4.96617522051573,4.17603043802554,Oracle
89,28,21,30,3.14844702764011,3.02040264613115,Proposed
89,31,25,35,3.71751759403248,3.06017062642259,Oracle
90,23,18,25,9.6288919954799,6.29643921151681,Proposed
90,21,16,23,10.6154457173482,8.65560119897869,Oracle
91,25,20,27,6.40126370527469,6.30110383120843,Proposed
91,25,20,27,6.47796314983652,5.75061249812647,Oracle
92,14,11,16,5.55416887142307,4.69177158114013,Proposed
92,14,11,15,4.33941718993287,3.00578122242203,Oracle
93,20,15,21,11.1812464457429,9.51786008320012,Proposed
93,21,15,22,10.7854306145448,8.28394275251535,Oracle
94,10,8,9,8.21895357063976,6.68584483812534,Proposed
94,10,8,10,7.9326137797987,6.30459258006456,Oracle
95,24,25,36,5.08414690151777,4.08523460666788,Proposed
95,27,24,35,4.77493732603411,3.21846545493523,Oracle
96,41,33,48,5.63871295026977,5.01271875041477,Proposed
96,40,32,47,4.0693726030193,3.38653623800225,Oracle
97,16,24,35,6.20892132692996,5.97371793992921,Proposed
97,27,23,33,5.01303937319912,4.46750675234663,Oracle
98,13,10,14,3.60151040848352,1.91546954208771,Proposed
98,14,11,14,3.52923581808644,1.5957462457918,Oracle
99,17,10,13,7.05819036257871,6.10599850510548,Proposed
99,24,18,25,7.38231580116235,5.39992063344065,Oracle
100,25,17,22,7.35557162965803,4.68815479769113,Proposed
100,24,16,21,7.24196905982707,4.87649404779802,Oracle
